TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:document_id = 10169_Poole1860
# hipe2022:date = 1860-04-19
# hipe2022:language = en
# hipe2022:dataset = topres19th
# hipe2022:split = dev
# hipe2022:converter_version = v2022-02-04
# hipe2022:document_type = newspaper
# hipe2022:original_source = train/annotated_tsv/10169_Poole1860.tsv
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NEL-LIT MISC
# topres19th:dataset_doi = https://doi.org/10.23636/b1c4-py78
# topres19th:version = v2
# topres19th:original_license = CC-BY-NC-SA 4.0
# topres19th:fname = 10169_Poole1860
# topres19th:issue_date = 1860-04-19
# topres19th:decade = 1860
# topres19th:ocr_quality_mean = 0.9115
# topres19th:ocr_quality_sd = 0.1356
# topres19th:word_count = 180
# topres19th:publication_title = The Poole and South-Western Herald, etc.
# topres19th:place_publication = Poole
(	O	O	O	O	O	O	O	O	NoSpaceAfter
LATF	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

DtiliANT	O	O	O	O	O	O	O	O	
t	O	O	O	O	O	O	O	O	
COI	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	
TIMER	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

DEAL	O	O	O	O	O	O	O	O	NoSpaceAfter
.	O	O	O	O	O	O	O	O	EndOfSentence

AND	O	O	O	O	O	O	O	O	
SLATE	O	O	O	O	O	O	O	O	
INVITES	O	O	O	O	O	O	O	O	
the	O	O	O	O	O	O	O	O	
attention	O	O	O	O	O	O	O	O	
of	O	O	O	O	O	O	O	O	
Builders	O	O	O	O	O	O	O	O	
and	O	O	O	O	O	O	O	O	
others	O	O	O	O	O	O	O	O	
to	O	O	O	O	O	O	O	O	
his	O	O	O	O	O	O	O	O	
Well-selected	O	O	O	O	O	O	O	O	
Assortment	O	O	O	O	O	O	O	O	
of	O	O	O	O	O	O	O	O	
Dry	O	O	O	O	O	O	O	O	
Seasoned	O	O	O	O	O	O	O	O	
Fint	O	O	O	O	O	O	O	O	
Quality	O	O	O	O	O	O	O	O	
PLANKS	O	O	O	O	O	O	O	O	NoSpaceAfter
,	O	O	O	O	O	O	O	O	
